브랜드,제품명,검색 순위,쿠팡 판매가,쿠팡 판매가 단위별 가격,와우 할인가,와우 할인가 단위별 가격,상품평 수
하림IFF,"하림 IFF 핑크솔트 한입 닭가슴살 (냉동), 1.1kg, 2개",172,"22,750원","(100g당 1,034원)",없음,,"3,868개"
하림,친환경 무항생제 자연실록 닭가슴살 400g 2봉,173,"14,500원","(100g당 1,813원)",없음,,93개
올품,"올품 닭가슴살 진공팩 (냉장), 1kg, 4개",174,"42,040원","(100g당 1,051원)",없음,,731개
,"치킨마켓 국내산 냉장(신선) 생닭가슴살 1KG, 1kg, 1개",175,"6,090원",,없음,,45개
미트리,"미트리 IQF 생닭가슴살, 1kg, 7개",176,"77,910원","(100g당 1,113원)",없음,,"1,102개"
,"한강식품 IQF 무항생제 닭안심 (냉동), 1kg, 3개",177,"25,630원",(100g당 854원),없음,,"3,930개"
,"오다닭 국내산 냉동 생 닭가슴살 (껍질없음) 신선 1kg 1팩, 1kg, 1개",178,"5,300원",,없음,,0개
허닭,[허닭] 닭가슴살 리뉴얼 리얼 알짜 패키지 20팩,179,"27,900원","(100g당 27,900원)",없음,,485개
gomgom,"곰곰 닭가슴살 (냉장), 1kg, 2개",180,"24,310원","(100g당 1,216원)","23,810원","(100g당 1,191원)","1,190개"
하림,"하림 닭가슴살 블랙페퍼 100g 20개, 100g, 20개",181,"39,390원",(10g당 197원),없음,,"13,975개"
,냉동 생 닭가슴살 대용량 국내산 냉동닭가슴살 1kg 2kg 3kg 5kg 10kg,182,"27,500원",,없음,,12개
올품,"올품 닭가슴살 슬라이스 IQF (냉동), 2kg, 1개",183,"16,650원",(100g당 833원),"16,650원",(100g당 833원),"23,644개"
하림,"하림 IFF 무항생제 닭안심, 1kg, 5개",184,"49,800원",(100g당 996원),없음,,16개
,"하림 무항생제 1등급 냉장 생 닭가슴살 1kg, 탕수육용, 1개",185,"9,200원",,없음,,109개
올품,"올품 IQF 슬라이스 닭가슴살, 1kg, 1개",186,"10,330원","(100g당 1,033원)",없음,,"4,017개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 6팩",187,"29,520원","(100g당 1,230원)",없음,,"53,287개"
,"[치킨의제왕] 국내산 생닭가슴살 1kg 2kg 5kg 대용량, 5kg, 1개",188,"27,000원",,없음,,17개
올품,"올품 닭가슴살 슬라이스 IQF (냉동), 2kg, 2개",189,"34,180원",(100g당 855원),"32,180원",(100g당 805원),"23,644개"
마니커,"마니커 가슴살 슬라이스 (냉동), 3kg, 1개",190,"36,370원","(100g당 1,212원)",없음,,868개
,"오다닭 닭가슴살 스팀 (저염분) 세트구성, 100g, 30개",191,"45,700원","(100g당 1,523원)","42,850원","(100g당 1,428원)",579개
올품,"올품 닭가슴살(진공) 1kg 3봉, 1kg, 3개",192,"20,900원",(100g당 697원),없음,,269개
,"오다닭 국내산 냉동 생 닭가슴살 (껍질없음) 신선 1kg 1팩, 1kg, 5개",193,"26,500원",,없음,,0개
자연실록,"하림 자연실록 동물복지 인증 닭가슴살 (냉장), 400g, 1개",194,"7,900원","(100g당 1,975원)",없음,,4개
올품,올품 IQF 닭가슴살 슬라이스 1kg x 3봉,195,"26,900원","(100g당 1,345원)",없음,,4개
하림IFF,"하림 IFF 닭 안심살 (냉동), 2kg, 1개",196,"17,870원",(100g당 894원),없음,,"6,076개"
,"푸르델리 냉동 생 닭가슴살(2kg) 5팩 10kg, 2kg, 5개",197,"59,000원",(100g당 590원),"51,710원",(100g당 517원),587개
,"[치킨의제왕] 국내산 생닭가슴살 1kg 2kg 5kg 대용량, 1kg, 1개",198,"6,000원",,없음,,17개
자연실록,"자연실록 무항생제 인증 닭가슴살 (냉장), 1.5kg, 1개",199,"20,940원","(100g당 1,396원)",없음,,"53,287개"
,"사계림 국내산 냉장 생닭가슴살, 1kg (1팩), 1개",200,"10,820원","(100g당 1,082원)",없음,,54개
,국내산 신선한 생 닭가슴살 10kg(5kg*2팩) 냉동,201,"76,900원","(100g당 1,538원)",없음,,12개
,바네푸드 냉동/냉장 닭가슴살 5kg (1kg x 5팩),202,"32,300원",(100g당 646원),없음,,74개
,네이처그램 냉동 닭가슴살,203,"2,000원",,없음,,125개
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 10팩",204,"49,200원","(100g당 1,230원)",없음,,"53,287개"
,"국내산 닭고기 진영 닭가슴살, 냉장가슴살500g, 6개",205,"18,300원",,없음,,"1,669개"
,"브린 껍질없는 닭가슴살, 1kg, 1개",206,"7,400원",,"7,030원",,937개
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 3개",207,"27,940원",(100g당 931원),"24,340원",(100g당 811원),"2,018개"
굽네,"굽네 로드닭 생닭가슴살 1kg, 5kg, 5개",208,"56,500원","(100g당 1,130원)",없음,,128개
,"다고리 국내산 냉동 닭가슴살 1kg / HACCP업체, 1kg, 1개",209,"8,500원",,없음,,129개
,"한강식품 IQF 무항생제 닭안심 (냉동), 1kg, 2개",210,"17,440원",(100g당 872원),없음,,"3,930개"
,[산지직송] 순수한,211,"43,900원",(100g당 878원),"40,950원",(100g당 819원),140개
미쳤닭,"미쳤닭 냉동 생닭가슴살 (200g포장), 200g, 5개",212,"14,900원","(100g당 1,490원)",없음,,"1,313개"
,"올계 유기농인증 닭가슴살 (냉동), 300g, 1개",213,"12,830원","(100g당 4,277원)",없음,,385개
신선애,"신선애 IQF 한입 닭가슴살 1kg, 1kg, 1팩",214,"10,500원",,없음,,8개
,"풀토래_냉장 닭안심 2kg_국내산, 2kg, 2개",215,"27,800원",(100g당 695원),없음,,"2,866개"
올품,"올품 IQF 닭가슴살 슬라이스, 1kg, 5개",216,"42,500원",(100g당 850원),없음,,28개
